lsoa11cd,apgroup_num,apgroup_name
E01013150,1,E01013150
E01015580,2,E01015580
E01023601,3,E01023601
E01024217,4,E01024217
E01000722,5,E01000722
E01030056,6,E01030056
E01012754,7,E01012754
E01030057,8,E01030057
E01025395,9,E01025395
E01030054,10,E01030054
E01026831,11,E01026831
E01030055,12,E01030055
E01012236,13,E01012236
E01030052,14,E01030052
E01029104,15,E01029104
E01030053,16,E01030053
E01013582,17,E01013582
E01030050,18,E01030050
E01021652,19,E01021652
E01030051,20,E01030051
E01020228,21,E01020228
E01030058,22,E01030058
E01006770,23,E01006770
E01030059,24,E01030059
E01028785,25,E01028785
E01021321,26,E01021321
E01032848,27,E01032848
W01001770,28,W01001770
E01011166,29,E01011166
E01011556,30,E01011556
E01033603,31,E01033603
E01026273,32,E01026273
E01009838,33,E01009838
E01027918,34,E01027918
W01000361,35,W01000361
E01027517,36,E01027517
E01003626,37,E01003626
E01003989,38,E01003989
E01031388,39,E01031388
E01019459,40,E01019459
E01004197,41,E01004197
E01029940,42,E01029940
E01029914,43,E01029914
W01000150,44,W01000150
E01021575,45,E01021575
E01001673,46,E01001673
E01012449,47,E01012449
E01031305,48,E01031305
E01008928,49,E01008928
E01006179,50,E01006179
E01031936,51,E01031936
E01022464,52,E01022464
E01004606,53,E01004606
E01001213,54,E01001213
E01013622,55,E01013622
E01026438,56,E01026438
E01005000,57,E01005000
E01017452,58,E01017452
E01012111,59,E01012111
E01008527,60,E01008527
E01008703,61,E01008703
E01033278,62,E01033278
E01013779,63,E01013779
E01031954,64,E01031954
E01031055,65,E01031055
E01026921,66,E01026921
E01003600,67,E01003600
E01004216,68,E01004216
E01020615,69,E01020615
E01004750,70,E01004750
E01003390,71,E01003390
E01021714,72,E01021714
E01006547,73,E01006547
E01007182,74,E01007182
E01024975,75,E01024975
E01007669,76,E01007669
E01006279,77,E01006279
E01026624,78,E01026624
E01018782,79,E01018782
E01015318,80,E01015318
E01029722,81,E01029722
W01001621,82,W01001621
E01003153,83,E01003153
E01032978,84,E01032978
E01013680,85,E01013680
E01012290,86,E01012290
E01024676,87,E01024676
E01000760,88,E01000760
E01015395,89,E01015395
E01031719,90,E01031719
E01028545,91,E01028545
E01017103,92,E01017103
E01005586,93,E01005586
E01011652,94,E01011652
E01018278,95,E01018278
E01002718,96,E01002718
E01028458,97,E01028458
E01015175,98,E01015175
E01017513,99,E01017513
W01001391,100,W01001391
E01027856,101,E01027856
E01011307,102,E01011307
E01031768,103,E01031768
E01020096,104,E01020096
E01009944,105,E01009944
E01001971,106,E01001971
E01013177,107,E01013177
E01015523,108,E01015523
W01001175,109,W01001175
E01023862,110,E01023862
E01021308,111,E01021308
E01030879,112,E01030879
E01030018,113,E01030018
E01022423,114,E01022423
E01028455,115,E01028455
E01025173,116,E01025173
W01000686,117,W01000686
E01009697,118,E01009697
E01004448,119,E01004448
E01015366,120,E01015366
E01001486,121,E01001486
E01030097,122,E01030097
E01017941,123,E01017941
