"apgroup_num","apgroup_name","apmean_bno2","apmean_bpm25"
1,"E01013150",9.573,8.954
2,"E01015580",12.583,9.527
3,"E01023601",13.368,9.385
4,"E01024217",6.314,9.726
5,"E01000722",14.63,9.986
6,"E01030056",5.535,9.022
7,"E01012754",7.265,7.265
8,"E01030057",4.899,8.88
9,"E01025395",9.119,6.961
10,"E01030054",4.562,8.825
11,"E01026831",12.627,10.318
12,"E01030055",4.52,8.926
13,"E01012236",9.682,7.151
14,"E01030052",4.551,8.846
15,"E01029104",4.909,7.385
16,"E01030053",3.99,8.972
17,"E01013582",9.571,9.173
18,"E01030050",5.225,8.795
19,"E01021652",14.195,10.416
20,"E01030051",6.236,8.775
21,"E01020228",6.849,6.412
22,"E01030058",4.108,8.992
23,"E01006770",11.729,7.57
24,"E01030059",4.654,9.012
25,"E01028785",6.788,8.158
26,"E01021321",13.45,10.686
27,"E01032848",13.629,9.381
28,"W01001770",9.25,8.104
29,"E01011166",15.275,9.395
30,"E01011556",11.217,8.077
31,"E01033603",39.032,15.019
32,"E01026273",8.656,8.826
33,"E01009838",9.133,8.151
34,"E01027918",11.243,8.524
35,"W01000361",5.497,5.961
36,"E01027517",6.376,5.93
37,"E01003626",35.412,15.491
38,"E01003989",23.657,12.788
39,"E01031388",6.114,8.3
40,"E01019459",11.515,9.144
41,"E01004197",27.481,13.422
42,"E01029940",8.619,8.99
43,"E01029914",9.451,10.095
44,"W01000150",3.465,5.294
45,"E01021575",19.139,10.996
46,"E01001673",18.536,11.909
47,"E01012449",12.476,7.883
48,"E01031305",12.477,8.87
49,"E01008928",9.15,8.13
50,"E01006179",20.019,9.533
51,"E01031936",7.712,8.174
52,"E01022464",5.525,7.556
53,"E01004606",24.991,12.721
54,"E01001213",26.842,12.207
55,"E01013622",13.647,9.962
56,"E01026438",3.873,8.545
57,"E01005000",11.615,8.174
58,"E01017452",6.71,8.196
59,"E01012111",13.102,7.84
60,"E01008527",10.65,6.553
61,"E01008703",15.706,6.401
62,"E01033278",12.249,8.714
63,"E01013779",22.51,11.26
64,"E01031954",5.748,7.683
65,"E01031055",10.685,8.841
66,"E01026921",4.844,8.552
67,"E01003600",26.348,13.934
68,"E01004216",35.204,13.649
69,"E01020615",7.892,6.274
70,"E01004750",32.704,13.742
71,"E01003390",17.839,12.006
72,"E01021714",7.402,9.465
73,"E01006547",15.872,9.855
74,"E01007182",6.795,6.322
75,"E01024975",8.227,7.579
76,"E01007669",11.578,8.703
77,"E01006279",11.01,7.848
78,"E01026624",12.852,7.978
79,"E01018782",2.409,5.631
80,"E01015318",8.955,8.161
81,"E01029722",11.979,8.709
